year,oil_price,coal_price,gas_price,oil_price_shock,coal_price_shock,gas_price_shock
1965,1.8,,,,,
1970,1.8,,,,,
1973,3.29,,,,,
1974,11.58,,,1.2583919073675687,,
1975,11.53,,,-0.004327137863881616,,
1980,36.83,,,,,
1985,27.56,,,,,
1990,23.73,,,,,
1995,17.02,,,,,
2000,28.5,26.0,4.32,,,
2001,24.44,37.0,4.07,-0.15368295297121023,0.35282137462274243,-0.0596124028015153
2002,25.02,27.0,3.33,0.023454370735370544,-0.3150810466398954,-0.20067069546215124
2003,28.83,29.0,5.47,0.14174100661154568,0.07145896398214505,0.49630631244153733
2004,38.27,54.0,5.85,0.2832497877873003,0.6216882165778004,0.06716304480987526
2005,54.52,47.0,8.69,0.35390130739072095,-0.1388364448542158,0.3957312780335356
2006,65.14,49.0,6.72,0.17797119301975556,0.04167269640056808,-0.2570847847422424
2007,72.39,65.0,6.97,0.1055293684569627,0.28256697178501045,0.03652707023737432
2008,97.26,128.0,8.86,0.2953196366705897,0.6776429940239801,0.23993153984455712
2009,61.67,72.0,3.94,-0.4555902159722384,-0.5753641449035618,-0.8103660413071471
2010,79.5,99.0,4.37,0.25395943265688475,0.3184537311185346,0.10358228579765638
2011,111.26,121.0,4.0,0.3361127829868609,0.20067069546215124,-0.08846864798760823
2012,111.67,97.0,2.75,0.0036782888105535614,-0.22107956709335827,-0.3746934494414107
2013,108.56,84.0,3.73,-0.028245077931086993,-0.14389417966006918,0.3048073219772443
2014,98.97,70.0,4.37,-0.09248624161801394,-0.1823215567939546,0.1583547754517747
2015,52.32,58.0,2.61,-0.6374380667596565,-0.1880522315029396,-0.5154127877728968
2016,43.73,66.0,2.52,-0.17934434172411406,0.12921173148000625,-0.03509131981127006
2017,54.19,89.0,2.99,0.21446202415319365,0.29898162770571424,0.17101448587926313
2018,71.31,107.0,3.15,0.2745401804621895,0.1841924647297664,0.0521290654349466
2019,64.21,77.0,2.56,-0.10487760823425538,-0.3290234126082224,-0.2073951943460706
2020,41.96,60.0,2.03,-0.42544217827786046,-0.24946085963158313,-0.23197146543777528
2021,70.68,139.0,3.89,0.5214458639233992,0.8401293709085912,0.6503733645766591
2022,99.04,360.0,6.45,0.33736116148479023,0.9516300983194639,0.5056709731773262
2023,82.49,174.0,2.54,-0.18284673506364582,-0.7270487322356266,-0.9319160497772359
2024,80.75,140.0,2.19,-0.021319111769874374,-0.2174128766052247,-0.14826253720203586
