year,uk_energy_prod_twh,world_energy_prod_twh,uk_prod_share,sterling_share,sterling_share_lagged_source
1900,1566.457,5658.677,0.27682389364157034,,
1901,1523.789,5791.261,0.26311868865865307,,
1902,1579.773,5953.629,0.2653462283256145,,
1903,1602.305,6490.106,0.24688425736035746,,0.48
1904,1616.875,6566.571000000001,0.24622820647184046,,
1905,1642.618,7046.679,0.23310526845340904,,
1906,1746.542,7422.790999999999,0.23529451388298553,,
1907,1863.153,8249.666,0.2258458706085798,,
1908,1819.315,7908.847,0.23003542741438798,,
1909,1834.932,8268.587,0.22191602990934245,,
1910,1839.512,8732.341,0.21065508092274451,,
1911,1891.402,8914.681999999999,0.21216707449575883,,
1912,1811.571,9337.033000000001,0.19401998472105642,,
1913,1999.489,10017.555,0.1995985048247801,0.48,
1914,1848.077,9098.666,0.20311515995861373,,
1915,1761.372,9022.108999999999,0.19522841056342816,,0.42
1916,1783.459,9671.523,0.18440311830928802,,
1917,1728.673,10117.923,0.17085255541082886,,
1918,1584.326,9957.891000000001,0.15910256499092024,,
1919,1598.375,8718.413,0.1833332511318287,,
1920,1596.657,10088.461000000001,0.1582656660911907,,0.4
1921,1135.594,8758.582999999999,0.1296549909956896,,
1922,1736.3,9323.428,0.18622978586845954,,
1923,1919.898,10886.619999999999,0.1763539096615846,,
1924,1856.272,10693.649,0.17358639693522762,,
1925,1699.582,10841.308,0.15676909096208685,0.42,0.35
1926,873.514,10893.428000000002,0.08018724684277528,,
1927,1747.686,11863.201,0.1473199349821351,,
1928,1651.813,11844.664999999999,0.1394562868599492,,
1929,1793.982,12717.92,0.1410593870695837,,
1930,1696.412,11793.635,0.14384131779557363,0.4,
1931,1526.521,10695.208999999999,0.14272942211788475,,
1932,1452.009,9751.456999999999,0.14890174873354825,,
1933,1440.726,10301.215999999999,0.13985979907614793,,
1934,1535.435,11124.186000000002,0.1380267284275901,,
1935,1545.992,11707.777,0.13204829576101423,0.35,
1936,1589.091,12791.411,0.12423109538111159,,
1937,1672.284,13706.479000000001,0.12200682611486144,,
1938,1579.068,13035.961,0.12113169101994092,,
1939,1609.336,13737.897,0.11714573198503381,,
1940,1560.52,14883.681999999999,0.10484771174229603,,0.35
1941,1435.7810000000002,15432.453000000001,0.0930364732035795,,
1942,1426.697,15474.757,0.09219511492167534,,
1943,1385.339,16096.231,0.08606604862964504,,
1944,1342.08,16238.661,0.08264720841207289,,
1945,1272.375,14147.27,0.08993784666582316,,0.28
1946,1322.9450000000002,15148.734,0.08733040001890588,,
1947,1374.1970000000001,16901.04,0.08130842835707151,,
1948,1457.5059999999999,18086.227,0.08058651481041347,,
1949,1497.259,17637.698,0.08488970612831674,,
1950,1505.26,19524.787000000004,0.07709482310869765,0.35,0.22
1951,1551.061,21340.764000000003,0.07268066878955222,,
1952,1576.22,21818.427,0.07224260484039477,,
1953,1560.422,22442.044,0.06953118887031859,,
1954,1559.557,22787.730000000003,0.06843845350107272,,
1955,1542.678,25036.928,0.06161610561806944,0.28,0.14
1956,1545.316,26831.699,0.057592923951629,,
1957,1556.926,28045.241,0.05551480195873517,,
1958,1502.8000000000002,29034.832000000002,0.05175852231554156,,
1959,1435.3959999999997,30875.429,0.04648991273935011,,
1960,1348.6490000000001,32788.967,0.04113118293723618,0.22,0.1
1961,1328.449,33058.361,0.040184962587830664,,
1962,1376.0249999999999,35026.418000000005,0.03928534741976755,,
1963,1365.174,37071.142,0.036825787562735454,,
1964,1350.289,39568.811,0.034125084021352066,,
1965,1349.3220000000001,42322.069,0.03188223146651928,0.14,0.07
1966,1273.5479999999998,44720.22,0.028478124660388515,,
1967,1270.149,46216.33,0.027482688478293275,,
1968,1238.8310000000001,49455.12499999999,0.025049597994141158,,
1969,1185.7839999999999,52535.502,0.022571098682943963,,
1970,1190.76,54883.541,0.021696121975803274,0.1,0.05
1971,1267.837,57057.66100000001,0.022220276432291883,,
1972,1182.1570000000002,59279.444,0.01994210674445597,,
1973,1270.789,63052.581999999995,0.02015443237518806,,
1974,1198.132,63698.087999999996,0.018809544173445207,,
1975,1341.5049999999999,63382.899,0.021165093758176,0.07,
1976,1468.6480000000001,67348.894,0.021806564484934232,,
1977,1788.6299999999999,69954.974,0.025568303406130918,,
1978,1956.9060000000002,71263.874,0.027460000280085817,,
1979,2232.708,74938.15000000001,0.02979401012701808,,
1980,2373.949,73178.565,0.03244049674928717,0.05,
1981,2416.687,72169.965,0.03348604921728866,,
1982,2576.5499999999993,71854.451,0.03585790391746225,,
1983,2701.9059999999995,71859.40000000001,0.0375998964644848,,
1984,2345.581,75331.358,0.031136847420167313,,
1985,2727.075,77288.37599999999,0.03528441327321977,,
